current_age,race,sex,citizen,military,education,homeless_12mo_prior,jail_time_served,jail_time,arrest_year,admit_year,held_by,state,sentenced,controlling_offense,controlling_offense_type,arrested_during_status,firearm_at_offense,alc_at_offense,drug_at_offense,victim_hispanic,victim_race,victim_sex,victim_age,victim_known,victim_offense,max_time_est,censored,race_white,race_black
51,White,Male,Citizen,Veteran,High School Graduate,No,Yes,182,1993,1993,State,GA,Yes,Homicide,Violent,None,Yes,No,No,No,Black,Male,35 to 54,Stranger,Murder / Manslaughter / Homicide,0,1,Y,N
29,White,Male,Citizen,Non-veteran,Less Than High School,No,Yes,91,2005,2005,State,SC,Yes,Burglary,Property,None,No,No,Yes,NA,NA,NA,NA,NA,NA,0,1,Y,N
43,White,Female,Citizen,Non-veteran,Some College,No,Yes,182,2010,NA,State,IN,Yes,Drug Trafficking,Drug,Probation,No,No,Yes,NA,NA,NA,NA,NA,NA,NA,1,Y,N
45,White,Male,Citizen,Non-veteran,Less Than High School,NA,Yes,28,2016,2016,State,CA,Yes,Burglary,Property,None,No,Yes,Yes,NA,NA,NA,NA,NA,NA,0,1,Y,N
31,Black,Female,Citizen,Non-veteran,Some College,No,Yes,30,2009,2010,State,OH,Yes,Assault,Violent,None,Yes,No,No,No,Black,Female,25 to 34,Knew,Other Violent Offense,1,1,N,Y
42,White,Male,Citizen,Non-veteran,Some College,No,Yes,152,2013,2015,State,GA,Yes,Other Property,Property,None,No,No,No,NA,NA,NA,NA,NA,NA,2,1,Y,N
20,Black,Male,Citizen,Non-veteran,Less Than High School,No,Yes,304,2015,2015,State,OH,Yes,Robbery,Violent,None,No,Yes,Yes,No,Black,Male,18 to 24,Knew,Other Violent Offense,0,1,N,Y
28,Black,Male,Citizen,Non-veteran,Less Than High School,No,Yes,274,2010,2010,State,CA,Yes,Robbery,Violent,Probation,No,No,No,NA,White,NA,NA,NA,NA,0,1,N,Y
24,Hispanic,Female,Citizen,Non-veteran,High School Graduate,No,Yes,182,2015,2015,State,NM,Yes,Burglary,Property,None,No,No,Yes,NA,NA,NA,NA,NA,NA,0,1,N,N
39,Black,Female,Citizen,Non-veteran,College Degree or More,No,Yes,91,2015,2016,Federal,NC,Yes,Other Property,Property,None,No,No,No,NA,NA,NA,NA,NA,NA,1,1,N,Y
29,Hispanic,Female,Citizen,Non-veteran,Less Than High School,Yes,Yes,760,2013,2014,Federal,TX,Yes,Drug Trafficking,Drug,None,No,No,Yes,NA,NA,NA,NA,NA,NA,1,1,N,N
36,White,Male,Citizen,Non-veteran,Some College,No,Yes,517,2004,2005,State,FL,Yes,Assault,Violent,None,No,No,No,No,White,Male,25 to 34,Stranger,Other Violent Offense,1,1,Y,N
28,White,Male,Citizen,Non-veteran,Some College,No,Yes,213,2015,2015,State,FL,Yes,Other Property,Property,None,No,No,Yes,NA,NA,NA,NA,NA,NA,0,1,Y,N
32,Hispanic,Male,Citizen,Non-veteran,Less Than High School,Yes,Yes,365,2014,2015,State,WA,Yes,Rape Sexual Assault,Violent,None,No,No,Yes,No,White,Male,12 to 17,Knew,Other Violent Offense,1,1,N,N
53,White,Male,Citizen,Non-veteran,Less Than High School,No,No,0,2015,2015,State,AK,Yes,Other Public Order,Public order,Probation,No,Yes,No,NA,NA,NA,NA,NA,NA,0,1,Y,N
51,Hispanic,Female,Citizen,Non-veteran,Some College,No,Yes,182,2008,2008,State,OK,Yes,Homicide,Violent,None,No,Yes,No,No,White,Male,55 or Older,Knew,Murder / Manslaughter / Homicide,0,1,N,N
47,Black,Male,Citizen,Non-veteran,Less Than High School,No,No,0,2014,2014,State,TX,Yes,Other Property,Property,Parole,No,No,No,NA,NA,NA,NA,NA,NA,0,1,N,Y
26,Black,Male,Citizen,Non-veteran,Less Than High School,No,Yes,395,2010,2011,State,TX,Yes,Assault,Violent,Probation,Yes,NA,Yes,No,Black,Male,25 to 34,Knew,Other Violent Offense,1,1,N,Y
18,White,Male,Citizen,Non-veteran,Less Than High School,Yes,Yes,8,2015,2016,State,MO,Yes,Other Property,Property,Probation,No,No,Yes,NA,NA,NA,NA,NA,NA,1,1,Y,N
24,Black,Male,Citizen,Non-veteran,Less Than High School,No,Yes,91,2013,2013,State,TX,Yes,Other Public Order,Public order,Probation,No,No,Yes,NA,NA,NA,NA,NA,NA,0,1,N,Y
21,Other,Female,Citizen,Non-veteran,Less Than High School,No,Yes,30,2015,2015,State,IL,Yes,Other Property,Property,None,No,No,Yes,NA,NA,NA,NA,NA,NA,0,1,N,N
53,Black,Male,Citizen,Non-veteran,Some College,No,No,0,2013,2015,State,MS,Yes,Assault,Violent,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,N,Y
24,White,Male,Citizen,Non-veteran,Some College,No,Yes,426,2012,2014,Federal,IL,Yes,Other Public Order,Public order,None,No,Yes,NA,NA,NA,NA,NA,NA,NA,2,1,Y,N
49,White,Male,Citizen,Non-veteran,Less Than High School,No,Yes,14,2013,2016,State,MO,Yes,Drug Possession,Drug,None,No,Yes,Yes,NA,NA,NA,NA,NA,NA,3,1,Y,N
48,American Indian/Alaska Native,Male,Citizen,Non-veteran,Less Than High School,Yes,Yes,548,2012,2013,Federal,SD,Yes,Rape Sexual Assault,Violent,None,No,Yes,No,No,American Indian/Alaska Native,Female,35 to 54,Stranger,Rape,1,1,N,N
31,Hispanic,Female,Citizen,Non-veteran,Some College,No,Yes,517,2014,2015,Federal,CA,Yes,Other Property,Property,None,No,Yes,Yes,NA,NA,NA,NA,NA,NA,1,1,N,N
38,Hispanic,Female,Citizen,Non-veteran,Less Than High School,No,Yes,61,2015,2015,State,NV,Yes,Other Property,Property,None,No,No,Yes,NA,NA,NA,NA,NA,NA,0,1,N,N
